date,borough,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,new_cases,total_cases,new_deaths,total_deaths
2022-10-15,Kingston Upon Thames,-20,-3,69,-5,-1,1,11,64560,1,426
2022-10-15,Hammersmith And Fulham,-30,-9,3,-31,-23,1,13,67637,1,345
2022-10-15,Hackney,-24,-8,-8,-24,-17,0,18,95719,0,584
2022-10-15,Barking And Dagenham,-17,2,27,-6,-19,0,11,72918,0,615
2022-10-15,Tower Hamlets,-13,-2,-9,-17,-9,0,26,112719,2,504
2022-10-15,Lewisham,-8,-1,-15,-17,-17,1,26,102568,0,716
2022-10-15,Islington,-31,-5,-10,-49,-12,0,10,79828,0,408
2022-10-15,Bexley,-17,5,32,-26,-12,1,16,87033,1,770
2022-10-15,Wandsworth,-26,-16,41,-18,-8,0,25,124361,0,635
2022-10-15,Haringey,0,-10,-16,4,-26,0,16,88595,0,533
2022-10-15,Enfield,-21,-9,10,-25,-15,1,21,102340,1,793
2022-10-15,Sutton,-17,0,3,-29,-11,0,16,78393,0,600
2022-10-15,Merton,-24,-10,-15,-5,-12,0,20,77677,1,546
2022-10-15,Havering,-13,0,-7,-10,-5,0,18,95565,0,1104
2022-10-15,Brent,-11,0,24,-12,-12,0,14,108867,1,947
2022-10-15,Hounslow,-9,14,-2,6,-2,0,21,100604,0,736
2022-10-15,Camden,-21,-5,-14,14,-9,0,13,78171,0,389
2022-10-15,Greenwich,-5,4,-18,3,-12,1,26,96777,0,619
2022-10-15,Harrow,-13,18,47,6,5,0,17,87960,0,697
2022-10-15,Ealing,-11,-4,15,-13,-12,0,28,127281,0,898
2022-10-15,Southwark,-22,-8,-8,1,-4,-1,16,109452,0,512
2022-10-15,Newham,-22,-1,82,-8,-1,-1,26,112933,1,814
2022-10-15,Kensington And Chelsea,-25,9,-11,-23,-21,0,6,48070,0,321
2022-10-15,City Of London,-10,-42,-7,8,,,18,95719,0,584
2022-10-15,Bromley,-17,6,-10,-14,-2,0,16,117343,1,844
2022-10-15,Hillingdon,-10,-9,144,1,-7,0,28,109281,0,834
2022-10-15,Redbridge,-18,-5,-19,-17,-12,0,13,105875,1,980
2022-10-15,Croydon,-20,3,1,-24,-10,0,24,133321,0,1098
2022-10-15,Richmond Upon Thames,-23,0,-19,-18,-14,0,14,71653,0,402
